participant,trial,session,hrtf,target_azimuth_deg,masker_azimuth_deg,correct,predicted_srm_db
sub-15,118,before,optimised,150,30,1,-4.41047476339127
sub-15,119,before,optimised,30,30,0,-5.43024583980313
sub-15,1,after,individual,30,30,0,-4.2271868474892
sub-15,2,after,optimised,30,30,0,-4.55908930311373
sub-15,3,after,optimised,150,30,1,0.338055441718311
sub-15,4,after,individual,30,150,0,-6.03421794135641
sub-15,5,after,optimised,30,30,1,-2.06256722717358
sub-15,6,after,individual,30,30,1,-2.22352816992832
sub-15,7,after,optimised,30,150,1,0.0781984698616337
sub-15,8,after,individual,150,30,1,-2.99275144488916
sub-15,9,after,individual,150,30,0,-3.25451215926849
sub-15,10,after,individual,150,30,0,-3.08463352315871
sub-15,11,after,individual,30,30,1,-4.37014889426224
sub-15,12,after,optimised,30,150,0,0.458129590219925
sub-15,13,after,individual,150,30,0,-7.2537500460501
sub-15,14,after,optimised,30,150,1,0.57304611517634
sub-15,15,after,optimised,30,150,0,0.563280101535338
sub-15,16,after,individual,30,150,0,-4.81367229763181
sub-15,17,after,optimised,150,30,0,-0.0794575727495582
sub-15,18,after,individual,150,30,1,-2.49659776114667
sub-15,19,after,individual,30,150,0,-5.49291937313569
sub-15,20,after,optimised,30,150,0,-3.44763004151015
sub-15,21,after,individual,30,150,0,-5.47720997259003
sub-15,22,after,optimised,30,30,1,-4.3304654512596
sub-15,23,after,individual,30,30,0,-6.95810258042753
sub-15,24,after,optimised,150,30,1,0.105568603235484
sub-15,25,after,optimised,150,30,0,-4.1669289034994
sub-15,26,after,individual,30,30,0,-3.78795370898972
sub-15,27,after,individual,30,30,0,-4.77891787224758
sub-15,28,after,optimised,30,30,0,-6.81483338055886
sub-15,29,after,optimised,150,30,1,0.356607954197823
sub-15,30,after,individual,150,30,0,-2.33526537788317
sub-15,31,after,individual,30,150,0,-9.52332902947646
sub-15,32,after,individual,150,30,0,-3.36767972426267
sub-15,33,after,individual,150,30,0,-3.36767972426267
sub-15,34,after,individual,30,30,0,-7.10332977522704
sub-15,35,after,optimised,30,30,0,-4.05640633689275
sub-15,36,after,optimised,150,30,1,0.475334267518655
sub-15,37,after,individual,30,150,1,-4.94484043666443
sub-15,38,after,individual,30,30,1,-6.57913059678207
sub-15,39,after,individual,150,30,0,-2.67052951988539
sub-15,40,after,optimised,30,30,0,-4.71169180431342
sub-15,41,after,optimised,30,150,1,1.07570708183169
sub-15,42,after,optimised,150,30,0,-0.58591898524301
sub-15,43,after,individual,150,30,1,-0.538052542155365
sub-15,44,after,individual,30,150,0,-5.14466795118613
sub-15,45,after,individual,30,150,0,-9.36248517580351
sub-15,46,after,optimised,30,30,0,-7.11491660570273
sub-15,47,after,optimised,150,30,1,-2.28133687236579
sub-15,48,after,individual,150,30,0,-3.7933680961284
sub-15,49,after,optimised,30,30,1,-6.41907420216361
sub-15,50,after,optimised,30,30,1,-8.97794034209891
sub-15,51,after,individual,150,30,0,-5.71452298100982
sub-15,52,after,individual,150,30,0,-5.60920585063671
sub-15,53,after,individual,30,30,1,-9.13310134184873
sub-15,54,after,optimised,150,30,1,0.363245519158673
sub-15,55,after,optimised,150,30,1,2.56961382457124
sub-15,56,after,individual,30,150,0,-6.09535174393064
sub-15,57,after,individual,30,150,1,-9.62434674531314
sub-15,58,after,optimised,30,30,0,-5.13493208306891
sub-15,59,after,individual,30,30,0,-5.07351091542513
sub-15,60,after,optimised,150,30,0,-0.410751291981277
sub-15,61,after,individual,30,150,0,-7.94962366568568
sub-15,62,after,optimised,150,30,1,-2.35962064632421
sub-15,63,after,optimised,150,30,1,-2.50143332569208
sub-15,64,after,individual,30,30,1,-9.04462884375928
sub-15,65,after,individual,150,30,1,-7.38699639158839
sub-15,66,after,optimised,150,30,1,-4.16099787007056
sub-15,67,after,optimised,30,150,0,0.608906525650196
sub-15,68,after,individual,30,150,1,-7.46274754435157
sub-15,69,after,optimised,30,30,1,-9.10434731294655
sub-15,70,after,individual,30,150,0,-4.34149802213745
sub-15,71,after,individual,30,150,1,-2.73046836271771
sub-15,72,after,optimised,150,30,1,-1.72912563431105
sub-15,73,after,individual,30,150,0,-7.53307127291547
sub-15,74,after,optimised,30,30,0,-4.46006136679459
sub-15,75,after,optimised,30,30,0,-4.46006136679459
sub-15,76,after,individual,30,30,0,-4.5572781000467
sub-15,77,after,optimised,30,30,0,-4.84146837440312
sub-15,78,after,optimised,30,30,0,-4.84146837440312
sub-15,79,after,individual,150,30,1,-4.91840757858592
sub-15,80,after,optimised,30,150,0,-3.5878502470384
sub-15,81,after,individual,30,30,0,-7.32887576530254
sub-15,82,after,individual,30,30,0,-4.72455086437079
sub-15,83,after,optimised,30,30,1,-5.15040352156466
sub-15,84,after,optimised,150,30,1,-2.07248630171787
sub-15,85,after,optimised,30,150,0,0.117995804294637
sub-15,86,after,optimised,30,150,1,-3.68496767275192
sub-15,87,after,individual,30,30,0,-5.36807228013806
sub-15,88,after,optimised,150,30,1,-0.387334261771821
sub-15,89,after,individual,30,150,1,-7.4179715627166
sub-15,90,after,optimised,30,30,1,-6.73921113065487
sub-15,91,after,individual,150,30,1,-5.24078250781147
sub-15,92,after,individual,30,150,0,-7.13194407670996
sub-15,93,after,optimised,30,150,0,-1.91092075254893
sub-15,94,after,optimised,150,30,1,-4.23659157227611
sub-15,95,after,optimised,30,150,1,-1.58497550806924
sub-15,96,after,individual,150,30,0,-3.56095128550576
sub-15,97,after,optimised,30,150,1,1.1297484156934
sub-15,98,after,individual,30,150,1,-9.67441624661893
sub-15,99,after,optimised,150,30,0,-0.604645700030224
sub-15,100,after,optimised,30,30,0,-8.81567943770284
sub-15,101,after,individual,150,30,0,-7.20461527511282
sub-15,102,after,individual,30,150,0,-5.17474514737755
sub-15,103,after,optimised,30,150,1,2.98850822738931
sub-15,104,after,individual,150,30,0,-3.9281430536813
sub-15,105,after,optimised,30,150,1,-2.12731008408866
sub-15,106,after,individual,30,30,0,-5.33928920269625
sub-15,107,after,optimised,30,150,1,-1.58314367507494
sub-15,108,after,individual,150,30,1,-7.3774723415211
sub-15,109,after,optimised,30,30,0,-5.43024583980313
sub-15,110,after,optimised,30,30,0,-8.87208113765024
sub-15,111,after,individual,30,30,1,-6.8696311631752
sub-15,112,after,optimised,30,150,1,-1.24394743476767
sub-15,113,after,optimised,30,150,1,-3.74577429156531
sub-15,114,after,individual,30,150,0,-5.85321733936712
sub-15,115,after,individual,30,30,0,-8.88183407633833
sub-15,116,after,optimised,150,30,1,-4.41047476339127
sub-15,117,after,individual,30,30,0,-5.49837605206489
